1,0.1666666666666668E+00,0.1110223024625157E-15,0.0000000000000000E+00,0.1666666666666668E+00,0.1110223024625157E-15
2,0.1666666666666667E+00,0.5551115123125783E-16,0.2176907891421876E-18,0.1666666666666667E+00,0.5551115123125783E-16
4,0.1666666666666667E+00,0.0000000000000000E+00,0.2176907891421876E-18,0.1666666666666667E+00,0.0000000000000000E+00
8,0.1666666666666667E+00,0.2775557561562891E-16,0.1088453945710938E-18,0.1666666666666667E+00,0.2775557561562891E-16
16,0.1666666666666667E+00,0.2775557561562891E-16,0.0000000000000000E+00,0.1666666666666667E+00,0.2775557561562891E-16
32,0.1666666666666667E+00,0.0000000000000000E+00,0.1088453945710938E-18,0.1666666666666667E+00,0.0000000000000000E+00
64,0.1666666666666667E+00,0.2775557561562891E-16,0.1088453945710938E-18,0.1666666666666667E+00,0.2775557561562891E-16
128,0.1666666666666667E+00,0.0000000000000000E+00,0.1088453945710938E-18,0.1666666666666667E+00,0.0000000000000000E+00
256,0.1666666666666667E+00,0.0000000000000000E+00,0.0000000000000000E+00,0.1666666666666667E+00,0.0000000000000000E+00
512,0.1666666666666667E+00,0.0000000000000000E+00,0.0000000000000000E+00,0.1666666666666667E+00,0.0000000000000000E+00
1024,0.1666666666666667E+00,0.8326672684688674E-16,0.3265361837132813E-18,0.1666666666666667E+00,0.8326672684688674E-16
2048,0.1666666666666668E+00,0.1665334536937735E-15,0.3265361837132813E-18,0.1666666666666668E+00,0.1665334536937735E-15
4096,0.1666666666666668E+00,0.1110223024625157E-15,0.2176907891421876E-18,0.1666666666666668E+00,0.1110223024625157E-15
8192,0.1666666666666665E+00,0.1110223024625157E-15,0.8707631565687502E-18,0.1666666666666665E+00,0.1110223024625157E-15
16384,0.1666666666666660E+00,0.6383782391594650E-15,0.2068062496850782E-17,0.1666666666666660E+00,0.6383782391594650E-15
32768,0.1666666666666664E+00,0.3053113317719180E-15,0.1306144734853125E-17,0.1666666666666664E+00,0.3053113317719180E-15
65536,0.1666666666666669E+00,0.2220446049250313E-15,0.2068062496850782E-17,0.1666666666666669E+00,0.2220446049250313E-15
131072,0.1666666666666665E+00,0.1942890293094024E-15,0.1632680918566407E-17,0.1666666666666665E+00,0.1942890293094024E-15
262144,0.1666666666666679E+00,0.1221245327087672E-14,0.5551115123125783E-17,0.1666666666666679E+00,0.1221245327087672E-14
524288,0.1666666666666657E+00,0.9436895709313831E-15,0.8489940776545315E-17,0.1666666666666657E+00,0.9436895709313831E-15
1048576,0.1666666666666677E+00,0.9992007221626409E-15,0.7619177619976565E-17,0.1666666666666677E+00,0.9992007221626409E-15
2097152,0.1666666666666695E+00,0.2886579864025407E-14,0.7401486830834377E-17,0.1666666666666695E+00,0.2886579864025407E-14
4194304,0.1666666666666655E+00,0.1165734175856414E-14,0.1589142760737969E-16,0.1666666666666655E+00,0.1137978600240785E-14
8388608,0.1666666666666616E+00,0.5051514762044462E-14,0.1523835523995313E-16,0.1666666666666616E+00,0.5023759186428833E-14
16777216,0.1666666666666703E+00,0.3663735981263017E-14,0.3417745389532345E-16,0.1666666666666703E+00,0.3691491556878645E-14
33554432,0.1666666666666798E+00,0.1312838726619248E-13,0.3711627954874298E-16,0.1666666666666798E+00,0.1315614284180811E-13
67108864,0.1666666666666440E+00,0.2262079412673756E-13,0.1401928682075688E-15,0.1666666666666442E+00,0.2248201624865942E-13
134217728,0.1666666666666760E+00,0.9298117831235686E-14,0.1251722037567578E-15,0.1666666666666761E+00,0.9436895709313831E-14
